size,bcost,icost,scost,mcost,qcost,qcostm
528,277729,65565,139128,4114,4510,4011
529,278784,72902,139656,4132,5469,3961
530,279841,68786,140185,4134,5015,3931
531,280900,69898,140715,4160,4962,3966
532,281961,73994,141246,4150,4853,3913
533,283024,70805,141778,4175,4884,3991
534,284089,69183,142311,4167,4880,4037
535,285156,71363,142845,4184,5505,4017
536,286225,71482,143380,4210,5280,4048
537,287296,74779,143916,4201,5280,4000
538,288369,71131,144453,4230,5844,4008
539,289444,73811,144991,4233,5186,4035
540,290521,68517,145530,4233,5033,4051
541,291600,72161,146070,4250,5306,4033
542,292681,77196,146611,4234,5069,4077
543,293764,72244,147153,4253,5077,3998
544,294849,75167,147696,4257,5143,4037
545,295936,73481,148240,4272,5612,4088
546,297025,72027,148785,4280,5558,4274
547,298116,74585,149331,4293,5107,4179
548,299209,77716,149878,4314,4797,4067
549,300304,74036,150426,4317,4946,4106
550,301401,73969,150975,4304,5569,4128
551,302500,74206,151525,4314,5456,4180
552,303601,80420,152076,4328,5151,4195
553,304704,72565,152628,4317,5523,4129
554,305809,77385,153181,4362,5819,4117
555,306916,78198,153735,4365,5051,4147
556,308025,77258,154290,4398,4805,4228
557,309136,76591,154846,4400,5634,4167
558,310249,79134,155403,4390,5630,4137
559,311364,81485,155961,4433,5856,4355
560,312481,78485,156520,4412,5873,4151
561,313600,73730,157080,4414,5204,4176
562,314721,77845,157641,4447,5202,4240
563,315844,77150,158203,4408,5288,4240
564,316969,84212,158766,4428,5123,4244
565,318096,82054,159330,4444,6426,4259
566,319225,79252,159895,4476,5584,4257
567,320356,81664,160461,4454,5804,4384
568,321489,77099,161028,4515,5856,4227
569,322624,82990,161596,4534,5464,4453
570,323761,81559,162165,4519,5354,4245
571,324900,81716,162735,4517,5391,4420
572,326041,83496,163306,4514,5744,4247
573,327184,83604,163878,4538,5531,4404
574,328329,85902,164451,4528,5393,4338
575,329476,83457,165025,4550,6141,4349
576,330625,81796,165600,4557,6052,4330
577,331776,84118,166176,4596,6006,4375
578,332929,83380,166753,4567,5662,4357
579,334084,79985,167331,4603,6108,4343
580,335241,83057,167910,4605,6134,4350
581,336400,80732,168490,4603,5971,4439
582,337561,83799,169071,4604,6484,4390
583,338724,84563,169653,4584,5780,4453
584,339889,82567,170236,4668,5499,4394
585,341056,82873,170820,4636,5882,4548
586,342225,82905,171405,4651,6415,4529
587,343396,88414,171991,4657,5787,4454
588,344569,88079,172578,4672,5639,4442
589,345744,85989,173166,4674,5552,4499
590,346921,82011,173755,4688,5782,4492
591,348100,85794,174345,4710,5383,4497
592,349281,87379,174936,4695,5780,4492
593,350464,86494,175528,4718,5828,4557
594,351649,90435,176121,4726,6070,4484
595,352836,87501,176715,4769,5976,4611
596,354025,91544,177310,4747,5717,4531
597,355216,87335,177906,4758,5483,4541
598,356409,85426,178503,4759,5937,4538
599,357604,87292,179101,4783,5493,4678
600,358801,92219,179700,4791,6090,4524
601,360000,94539,180300,4787,5822,4539
602,361201,93025,180901,4778,6731,4624
603,362404,90368,181503,4824,6030,4773
604,363609,89944,182106,4833,5613,4571
605,364816,91907,182710,4853,6039,4625
606,366025,93335,183315,4832,6143,4628
607,367236,96974,183921,4858,6318,4559
608,368449,95233,184528,4854,5742,4584
609,369664,88806,185136,4863,6027,4628
610,370881,95606,185745,4868,5993,4857
611,372100,93267,186355,4910,6312,4689
612,373321,94764,186966,4909,6040,4890
613,374544,95949,187578,4920,5850,4661
614,375769,93856,188191,4929,5896,4668
615,376996,93036,188805,4927,6290,4642
616,378225,95243,189420,4960,6182,4687
617,379456,92057,190036,4942,6228,4716
618,380689,89835,190653,4971,5852,4700
619,381924,97631,191271,4950,6941,4824
620,383161,100128,191890,4988,6006,4718
621,384400,96487,192510,4978,6376,4803
622,385641,96661,193131,5000,6138,4718
623,386884,96343,193753,5024,5994,4764
624,388129,99639,194376,5016,6281,4731
625,389376,93355,195000,5033,6521,4758
626,390625,99140,195625,5022,6331,5091
627,391876,95227,196251,5027,6428,5054
628,393129,99399,196878,5063,6048,4904
629,394384,102272,197506,5066,7036,5311
630,395641,99902,198135,5096,6267,4874
631,396900,99493,198765,5079,5584,4910
632,398161,93987,199396,5107,6906,4894
633,399424,101484,200028,5084,5923,4807
634,400689,99031,200661,5104,5615,5196
635,401956,100601,201295,5130,6601,5036
636,403225,101518,201930,5121,6409,4869
637,404496,103245,202566,5148,7433,4926
638,405769,103787,203203,5139,6770,4929
639,407044,106913,203841,5165,6884,4967
640,408321,102478,204480,5189,6442,4931
641,409600,103966,205120,5171,7039,5091
642,410881,100121,205761,5194,6423,5194
643,412164,100810,206403,5178,6260,4997
644,413449,109250,207046,5211,5833,4961
645,414736,101934,207690,5249,5911,4971
646,416025,108254,208335,5255,6549,5015
647,417316,105580,208981,5230,6463,4961
648,418609,106206,209628,5260,6683,5058
649,419904,99164,210276,5257,6218,4956
650,421201,100000,210925,5282,6756,5001
651,422500,106003,211575,5246,6713,5028
652,423801,108920,212226,5291,7373,5344
653,425104,105283,212878,5304,6999,5304
654,426409,105611,213531,5302,6085,5037
655,427716,105967,214185,5327,6091,5043
656,429025,101878,214840,5346,7140,5429
657,430336,107771,215496,5356,6174,5125
658,431649,110918,216153,5339,6921,5099
659,432964,115740,216811,5368,6384,5232
660,434281,113926,217470,5388,6963,5388
661,435600,106529,218130,5355,6667,5390
662,436921,110194,218791,5406,6114,5113
663,438244,106006,219453,5394,6116,5095
664,439569,111451,220116,5400,6306,5163
665,440896,113139,220780,5413,7740,5113
666,442225,111217,221445,5413,6444,5179
667,443556,107129,222111,5441,6768,5169
668,444889,109727,222778,5418,7262,5189
669,446224,113960,223446,5454,6322,5211
670,447561,111789,224115,5491,6913,5203
671,448900,111252,224785,5473,7397,5259
672,450241,110440,225456,5460,6484,5230
673,451584,112696,226128,5475,6470,5255
674,452929,114102,226801,5508,6483,5301
675,454276,113939,227475,5497,6876,5211
676,455625,116232,228150,5547,6341,5255
677,456976,109834,228826,5532,7053,5289
678,458329,114208,229503,5533,6702,5204
679,459684,117827,230181,5559,6569,5276
680,461041,113926,230860,5576,6656,5282
681,462400,114725,231540,5567,7131,5306
682,463761,121293,232221,5607,6968,5315
683,465124,119436,232903,5607,6909,5286
684,466489,119031,233586,5607,6866,5384
685,467856,118383,234270,5584,6940,5353
686,469225,114824,234955,5639,6805,5406
687,470596,119435,235641,5623,6761,5342
688,471969,115131,236328,5646,6497,5324
689,473344,118113,237016,5635,6403,5389
690,474721,118991,237705,5649,7030,5431
691,476100,121765,238395,5646,7192,5352
692,477481,119464,239086,5676,6811,5416
693,478864,121442,239778,5685,6564,5405
694,480249,114629,240471,5690,6528,5370
695,481636,116276,241165,5722,7323,5427
696,483025,119604,241860,5735,6831,5399
697,484416,123784,242556,5754,6846,5424
698,485809,118065,243253,5760,7481,5449
699,487204,120904,243951,5716,6845,5598
700,488601,116001,244650,5754,7261,5432
701,490000,124267,245350,5779,7250,5421
702,491401,119834,246051,5758,6778,5534
